author,year,doi,mention_id,song_id,n_mentions,type,artist,title,passage,chills,notes
Craig,2005,10.1177/102986490500900207,m00038,s00594,4,empirical,Pink Floyd,The Post War Dream,NA,NA,NA
Craig,2005,10.1177/102986490500900207,m00039,s00237,1,empirical,Ferde Grofé,Grand Canyon Suite,Mvt. 5 (Cloudburst),NA,With digital thunderstorm effects
Craig,2005,10.1177/102986490500900207,m00040,s00034,1,empirical,Andrew Lloyd Webber,Requiem,Pie Jesu,NA,NA
Konečni,2005,10.1037/e674862010-005,m00041,s00812,12,anecdote,Wolfgang Amadeus Mozart,Requiem in D minor - K. 626,NA,NA,Interpreted by Franz Xaver Sussmayr
Konečni,2005,10.1037/e674862010-005,m00042,s00391,1,anecdote,Johann Sebastian Bach,Toccata and Fugue in D minor - BWV 565,NA,NA,NA
Huron,2006,NA,m00043,s00481a,5,report,Ludwig van Beethoven,Symphony No. 9 in D minor - Op. 125,Mvt. 4 (Ode to Joy),Single syncopated moment when fourth phrase begins quarter-note prior to downbeat,NA
Huron,2006,NA,m00044,s00057,3,discussion,Arnold Schoenberg,Verklärte Nacht - Op. 4,Mm. 225–230,M. 229,NA
Huron,2006,NA,m00045,s00592,3,discussion,Pink Floyd,The Final Cut,NA,NA,"Mistaken for ""The Post War Dream""?"
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00046,s00399,1,anecdote,Johannes Brahms,String Quintet No. 2 in G major - Op. 111,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00047,s00397,1,anecdote,Johannes Brahms,Piano Trio No. 1 in B major - Op. 8,Mvt. 4,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00048,s00396,1,anecdote,Johannes Brahms,Intermezzo No. 1 in A minor - Op. 118,NA,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00049,s00256,1,anecdote,Franz Schubert,Piano Sonata in C minor - D. 958,Mvt. 4,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00050,s00265,2,anecdote,Frédéric Chopin,Prelude No. 6 in B minor - Op. 28,NA,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00051,s00260,2,anecdote,Frédéric Chopin,Mazurka No. 4 in A minor - Op. 17,NA,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00052,s00259,1,anecdote,Frédéric Chopin,Etude No. 1 in Ab major - Op. 25,NA,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00053,s00020,1,anecdote,Alexander Scriabin,Etude No. 5 in C# minor - Op. 42,NA,Mm. 27–30; Mm. 46–47,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00054,s00366,2,anecdote,Jean Sibelius,Symphony No. 5 in Eb major - Op. 82,Mvt. 1 coda,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00055,s00268,2,anecdote,Gabriel Fauré,Sonata No. 1 in A major - Op. 13,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00056,s00128,1,anecdote,César Franck,Sonata in A major for Violin and Piano,Mvt. 4,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00057,s00655,1,anecdote,Robert Schumann,Piano Concerto in A minor - Op. 54,Mvt. 1; Mvt. 3,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00058,s00119,1,anecdote,Camille Saint-Saëns,Piano Concerto No. 2 in G minor - Op. 22,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00059,s00250,1,anecdote,Francis Poulenc,Sonate pour Flûte et Piano - FP 164,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00060,s00301,4,anecdote,Gustav Mahler,Symphony No. 5,Mvt. 4,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00061,s00302,1,anecdote,Gustav Mahler,Symphony No. 6 in A minor,Mvt. 1; Mvt. 3,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00062,s00192,1,anecdote,Dmitri Shostakovich,String Quartet No. 8 in C minor - Op. 110,Mvt. 1; Mvt. 2,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00063,s00502,2,anecdote,Maurice Ravel,Gaspard de la Nuit - M. 55,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00064,s00124,1,anecdote,Carl Nielsen,Symphony No. 2 - Op. 16 - FS 29,Mvt. 1 coda,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00065,s00474,1,anecdote,Ludwig van Beethoven,Piano Sonata No. 30 in E major - Op. 109,Mvt. 3 (Andante),NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00066,s00810,1,anecdote,Wolfgang Amadeus Mozart,Piano Concerto No. 20 in D minor - K. 466,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00067,s00811,4,anecdote,Wolfgang Amadeus Mozart,Piano Concerto No. 23 in A major - K. 488,Mvt. 2,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00068,s00049,1,anecdote,Antonio Vivaldi,L'estro armonico - Op. 3 - Concerto in A minor for four violins,Mvt. 1,NA,No concerto in A minor for four violins - Typo?
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00069,s00050,1,anecdote,Antonio Vivaldi,L'estro armonico - Op. 3 - Concerto No. 8 in A minor for two violins and strings - RV 522,Mvt. 1,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00070,s00773,7,anecdote,Tomaso Albinoni,Adagio in G minor,NA,NA,NA
Levinson,2006,10.1093/acprof:oso/9780199206179.003.0013,m00071,s00420,1,anecdote,Joseph Haydn,Piano Sonata No. 60 in C major - Hob. XVI/50,Mvt. 1,Certain chromatic bridge passages in exposition/recapitulation/development,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00072,s00812,12,empirical,Wolfgang Amadeus Mozart,Requiem in D minor - K. 626,Tuba mirum,NA,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00073,s00392,1,empirical,Johann Sebastian Bach,Toccata and Fugue in F Major - BWV 540,NA,NA,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00074,s00015,5,empirical,Air Supply,Making Love Out of Nothing at All,NA,NA,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00075,s00613,1,empirical,Rachel Portman,Chocolat Soundtrack - Main Title,NA,NA,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00076,s00052,1,empirical,Apocalyptica,Coma,NA,NA,NA
Grewe et al.,2007,10.1525/mp.2007.24.3.297,m00077,s00637,2,empirical,Richard Strauss,Breit Über Mein Haupt,NA,NA,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00078,s00773,7,empirical,Tomaso Albinoni,Adagio in G minor,Mm. 8–28,NA,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00079,s00811,4,empirical,Wolfgang Amadeus Mozart,Piano Concerto No. 23 in A major - K. 488,Mvt. 2: Mm. 1–20,Mm. 16–17,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00080,s00505,4,empirical,Max Bruch,Kol Nidrei - Op. 47,Mm. 1–25,Mm. 21–22,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00081,s00234,3,empirical,Felix Mendelssohn,Piano Trio No. 1 in D minor - Op. 49,Mvt. 2 - Mm. 1–26,NA,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00082,s00667a,8,empirical,Samuel Barber,Adagio for Strings,Mm. 1–14,NA,NA
Guhn et al.,2007,10.1525/mp.2007.24.5.473,m00083,s00263,5,empirical,Frédéric Chopin,Piano Concerto No. 1 in E minor - Op. 11,Mvt. 2: Mm. 1–31,Mm. 29–30,NA
Konečni et al.,2007,10.2307/20445428,m00084,s00680,4,empirical,Sergei Rachmaninoff,Piano Concerto No. 2 in C minor - Op. 18,Mvt. 3 (Last 4 min 30 s),NA,NA
Konečni et al.,2007,10.2307/20445428,m00085,s00421,1,empirical,Joseph Haydn,Symphony No. 102 in Bb major - Hob. I/102,Mvt. 3 (Unspecified 4 min 56 s passage),NA,NA
Konečni et al.,2007,10.2307/20445428,m00086,s00409a,6,empirical,John Stafford Smith,The Star-Spangled Banner,NA,NA,NA
Konečni et al.,2007,10.2307/20445428,m00087,s00409b,6,empirical,John Stafford Smith,The Star-Spangled Banner,NA,NA,Interpreted by Jimi Hendrix (Woodstock 1969 version)
Konečni et al.,2007,10.2307/20445428,m00088,s00583,3,empirical,Peter Dodds McCormick,Advance Australia Fair,NA,NA,NA
Konečni,2008,10.1037/1931-3896.2.2.115,m00089,s00680,4,discussion,Sergei Rachmaninoff,Piano Concerto No. 2 in C minor - Op. 18,4-min ending,NA,NA
Konečni,2008,10.1037/1931-3896.2.2.115,m00090,s00409a,6,discussion,John Stafford Smith,The Star-Spangled Banner,NA,NA,NA
Konečni,2008,10.1037/1931-3896.2.2.115,m00091,s00583,3,discussion,Peter Dodds McCormick,Advance Australia Fair,NA,NA,NA
Grewe et al.,2009,10.1525/mp.2009.27.1.61,m00092,s00812,12,empirical,Wolfgang Amadeus Mozart,Requiem in D minor - K. 626,Dies irae; Tuba mirum; Rex tremendae; Confutatis; Lacrimosa,NA,NA
Grewe et al.,2009,10.1525/mp.2009.27.1.61,m00093,s00393,2,empirical,Johann Sebastian Bach,Unser Leben ist ein Schatten,NA,NA,NA
Grewe et al.,2009,10.1525/mp.2009.27.1.61,m00094,s00285,2,empirical,Giacomo Puccini,Requiem,NA,NA,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00095,s00478,1,report,Ludwig van Beethoven,Symphony No. 2 in D major - Op. 36,NA,NA,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00096,s00604,2,report,Pyotr Ilyich Tchaikovsky,Swan Lake - Op. 20,NA,NA,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00097,s00169,1,report,Dave Matthews Band,#34,NA,01:40,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00098,s00224,1,report,Everclear,El Distorto De Melodica,NA,00:30; 01:20,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00099,s00740,1,report,The Dissociatives,Paris Circa 2007 Slash 08,NA,01:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00100,s00663,1,report,Rutter,What Sweeter Music,NA,01:57,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00101,s00018,1,report,Aleksandr Sheremetev,Now the Powers of Heaven,NA,03:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00102,s00383,1,report,Johann Sebastian Bach,Brandenburg Concerto No. 5 - BWV 1050,NA,04:18,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00103,s00384,1,report,Johann Sebastian Bach,Cello Suite No. 1 in G major - BWV 1007,Prelude,02:29,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00104,s00667a,8,report,Samuel Barber,Adagio for Strings,NA,00:25; 03:40; 05:00; 05:40; 06:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00105,s00074,1,report,Béla Bartók,Rhapsody No. 1 - Sz. 86–88 - BB 94,Mvt. 1,03:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00106,s00470,4,report,Ludwig van Beethoven,Piano Concerto No. 5 in Eb major - Op. 73,Mvt. 2,00:02,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00107,s00479,3,report,Ludwig van Beethoven,Symphony No. 5 in C minor - Op. 67,Mvt. 2,00:16; 02:02; 02:36,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00108,s00481a,5,report,Ludwig van Beethoven,Symphony No. 9 in D minor - Op. 125,Mvt. 2,00:29; 00:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00109,s00471,1,report,Ludwig van Beethoven,Piano Sonata No. 14 in C# minor - Op. 27 - No. 2 (Moonlight Sonata),NA,01:15; 03:00; 03:10; 04:08,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00110,s00472,1,report,Ludwig van Beethoven,Piano Sonata No. 17 in D minor - Op. 31 - No. 2,NA,05:33,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00111,s00475,1,report,Ludwig van Beethoven,Piano Sonata No. 8 in C minor - Op. 13,Mvt. 3 (Rondo: Allegro),00:15; 01:29; 01:39,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00112,s00476,1,report,Ludwig van Beethoven,String Quartet No. 13 in Bb major - Op. 130,Mvt. 5 (Cavatina),01:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00113,s00480,2,report,Ludwig van Beethoven,Symphony No. 7 in A major - Op. 92,Mvt. 2,01:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00114,s00482,1,report,Ludwig van Beethoven,Violin Sonata No. 5 in F major - Op. 24,Mvt. 1,00:30; 01:38; 02:20,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00115,s00314,1,report,Hector Berlioz,Le Carnaval Romain - Op. 9,NA,08:32,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00116,s00315,1,report,Hector Berlioz,Symphonie Fantastique - Op. 14,Mvt. 4,02:55,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00117,s00398,1,report,Johannes Brahms,String Quartet No. 1 in C minor - Op. 51,Mvt. 2,00:39; 00:47; 01:12,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00118,s00401,1,report,Johannes Brahms,Symphony No. 4 in E minor -  Op. 98,Mvt. 4,04:23,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00119,s00184,1,report,Dieterich Buxtehude,Toccata in G major - BuxWV 164,NA,00:40,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00120,s00258,1,report,Frédéric Chopin,Ballade No. 1 in G minor - Op. 23,NA,02:03,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00121,s00260,2,report,Frédéric Chopin,Mazurka No. 4 in A minor - Op. 17,NA,00:59; 01:57,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00122,s00261,1,report,Frédéric Chopin,Nocturne No. 1 in G minor - Op. 37,NA,01:20; 02:20,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00123,s00264,1,report,Frédéric Chopin,Prelude No. 4 in E Minor - Op. 28,NA,00:40; 01:05,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00124,s00002,2,report,Aaron Copland,Appalachian Spring,NA,20:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00125,s00145,2,report,Claude Debussy,Suite Bergamasque - L. 75,Mvt. 3 (Clair de Lune),01:26; 02:03; 02:09; 04:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00126,s00141,1,report,Claude Debussy,Images Oubliées - L. 87,Mvt. 1 (Lent),01:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00127,s00144,2,report,Claude Debussy,Prelude to the Afternoon of a Faun - L. 86,NA,04:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00128,s00047,3,report,Antonín Dvořák,Symphony No. 9 in E minor - Op. 95 - B. 178 (New World Symphony),Mvt. 2; Mvt. 4,Mvt. 2: 01:36; 02:12; 02:30; Mvt. 4: 00:20; 05:30; 08:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00129,s00046,1,report,Antonín Dvořák,Symphony No. 8 in G major - Op. 88 - B. 163,Mvt. 1; Mvt. 4,Mvt. 1: 06:45; Mvt. 4: 02:15; 09:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00130,s00205,2,report,Edward Elgar,Cello Concerto in E minor - Op. 85,Mvt. 1,01:15; 02:53; 04:15,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00131,s00206,1,report,Edward Elgar,Elegy - Op. 58,NA,00:08,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00132,s00268,2,report,Gabriel Fauré,Sonata No. 1 in A major - Op. 13,Mvt. 1,00:24; 00:31; 00:36,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00133,s00277,1,report,George Frideric Handel,Concerto Grosso No. 2 in Bb major - Op. 3 - HWV 313,Mvt. 3 (Allegro),01:10,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00134,s00276,1,report,George Frideric Handel,Concerti Grosso No. 4 in A minor - Op. 6 - HWV 322,Mvt. 2 (Allegro),02:25,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00135,s00418,1,report,Joseph Haydn,Cello Concerto No. 1 in C major - Hob. VIIb/1,Mvt. 2 (Adagio),01:42,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00136,s00419,1,report,Joseph Haydn,Piano Sonata No. 58 in C major - Hob. XVI/48,Mvt. 1,00:22,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00137,s00296,1,report,Gustav Holst,First Suite in Eb for Military Band - Op. 28 - No. 1,NA,09:07; 09:50,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00138,s00297,6,report,Gustav Holst,The Planets - Op. 32,Venus; Jupiter,Venus: 04:27; 04:39; Jupiter: 03:05; 04:48; 05:10,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00139,s00266,1,report,Fritz Kreisler,Praeludium and Allegro (in the style of Pugnani),NA,02:20; 04:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00140,s00118,1,report,Camille Saint-Saëns,Danse macabre - Op. 40,NA,00:27; 03:37; 04:21,Arrangement by Franz Liszt (S.555)
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00141,s00298,3,report,Gustav Mahler,Symphony No. 1 in D major,Mvt. 1; Mvt. 4,Mvt. 1: 14:00; Mvt. 4: 05:42; 09:57; 15:15,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00142,s00299,3,report,Gustav Mahler,Symphony No. 2,Mvt. 1; Mvt. 3; Mvt. 5,Mvt. 1: 01:47; 10:20; 13:00; Mvt. 3: 07:59; Mvt. 5: 07:45; 15:29; 21:57,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00143,s00301,4,report,Gustav Mahler,Symphony No. 5,Mvt. 1,00:05,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00144,s00813,1,report,Wolfgang Amadeus Mozart,Serenade No. 13 for strings in G major - K. 525,NA,00:17,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00145,s00812,12,report,Wolfgang Amadeus Mozart,Requiem in D minor - K. 626,Lacrimosa,00:46; 00:50,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00146,s00529a,2,report,Modest Mussorgsky,Pictures at an Exhibition,NA,05:16,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00147,s00382,4,report,Johann Pachelbel,Canon in D,NA,02:02,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00148,s00441,1,report,Krzysztof Penderecki,Threnody to the Victims of Hiroshima,NA,00:20; 03:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00149,s00678,1,report,Sergei Prokofiev,Romeo and Juliet - Op. 64,Suite No. 2: Juliet as a Young Girl; Suite No. 3: The Death of Juliet,Suite No. 2: 00:20; Suite No. 3: 04:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00150,s00679,1,report,Sergei Rachmaninoff,Morceaux de Fantaisie - Op. 3,Prelude in C# minor,01:31; 02:20,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00151,s00680,4,report,Sergei Rachmaninoff,Piano Concerto No. 2 in C minor - Op. 18,Mvt. 2,01:32; 08:48,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00152,s00681,2,report,Sergei Rachmaninoff,Piano Concerto No. 3 in D minor - Op. 30,NA,01:03,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00153,s00682,1,report,Sergei Rachmaninoff,Prelude No. 4 in D major - Op. 23,NA,00:09,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00154,s00683,1,report,Sergei Rachmaninoff,Rhapsody on a Theme of Paganini - Op. 43,NA,01:25; 02:30,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00155,s00502,2,report,Maurice Ravel,Gaspard de la Nuit - M. 55,Mvt. 1 (Ondine) ,00:50; 03:13; 03:41,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00156,s00503,1,report,Maurice Ravel,Miroirs,Mvt. 2 (Oiseaux Tristes),00:23; 01:04; 02:05,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00157,s00504,1,report,Maurice Ravel,String Quartet in F major,Mvt. 2,00:02; 00:24; 03:16,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00158,s00570,1,report,Ottorino Respighi,Pines of Rome,NA,06:48,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00159,s00560,2,report,Nikolai Rimsky-Korsakov,Scheherazade - Op. 35,Mvt. 2; Mvt. 3,Mvt. 2: 02:50; 03:17; Mvt. 3: 06:13,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00160,s00121,1,report,Camille Saint-Saëns,Symphony No. 3 in C minor - Op. 78,Mvt. 1,01:00; 03:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00161,s00654,1,report,Robert Schumann,Fantasie in C major - Op. 17,Mvt. 1 - Mm. 8–53,07:55,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00162,s00195,1,report,Dmitri Shostakovich,Symphony No. 11 in G minor - Op. 103,Mvt. 2; Mvt. 4,Mvt. 2: 13:45; 14:00; Mvt. 4: 10:00,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00163,s00191,1,report,Dmitri Shostakovich,Piano Concerto No. 2 in F major - Op. 102,Mvt. 2,06:45,NA
Salimpoor et al.,2009,10.1371/journal.pone.0007487,m00164,s00194,1,report,Dmitri Shostakovich,Symphony No. 10 in E minor - Op. 93,Mvt. 2,01:00; 02:20,NA
